"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"314","A.J. Dillon","PHI","9","RB85","","","235","235.0"
"315","Oronde Gadsden II","LAC","12","TE40","","","318","290.3"
"316","Ben Sinnott","WAS","12","TE41","","","","277.0"
"317","Antonio Gibson","NE","14","RB86","","","242","242.0"
"318","Marquez Valdes-Scantling","SEA","8","WR106","","","","280.5"
"319","Curtis Samuel","BUF","7","WR107","","","","244.0"
"320","Parker Washington","JAC","8","WR108","","","","246.0"
"321","Nick Westbrook-Ikhine","MIA","12","WR109","","","","282.5"
"322","Indianapolis Colts","DST","11","DST26","","","","249.0"
"323","Luke McCaffrey","WAS","12","WR110","","","","250.0"
"324","Jaylin Lane","WAS","12","WR111","","","","251.0"
"325","Tory Horton","SEA","8","WR112","","","","257.0"
"326","Christian Watson","GB","5","WR113","","","","287.5"
"327","Brandin Cooks","NO","11","WR114","","","301","288.0"
"328","Jermaine Burton","CIN","10","WR115","","","311","298.0"
"329","Tai Felton","MIN","6","WR116","","","","263.0"
"330","Atlanta Falcons","DST","5","DST27","","","","264.0"
"331","Isaiah Davis","NYJ","9","RB87","","","322","301.3"
"332","Alexander Mattison","MIA","12","RB88","","","286","292.5"
"333","Xavier Restrepo","TEN","10","WR117","","","","294.5"
"334","Jordan Whittington","LAR","8","WR118","","","","272.0"
"335","Demarcus Robinson","SF","14","WR119","","","","295.0"
"336","Kenneth Gainwell","PIT","5","RB89","","","274","274.0"
"337","Samaje Perine","CIN","10","RB90","","","289","296.0"
"338","Khalil Herbert","IND","11","RB91","","","314","297.0"
"339","Savion Williams","GB","5","WR120","","","325","301.0"
"340","Jacob Cowing","SF","14","WR121","","","","283.0"
"341","Noah Fant","SEA","8","TE42","","","284","284.0"
"342","Jameis Winston","NYG","14","QB40","","","291","291.0"
"343","Las Vegas Raiders","DST","8","DST28","","","","293.0"
"344","Dameon Pierce","HOU","6","RB92","","","320","307.5"
"345","Treylon Burks","TEN","10","WR122","","","","297.0"
"346","New Orleans Saints","DST","11","DST29","","","","300.0"
"347","Will Levis","TEN","10","QB41","","","303","303.0"
"348","Gardner Minshew II","KC","10","QB42","","","","304.0"
"349","Zay Jones","ARI","8","WR123","","","","305.0"
"350","KaVontae Turpin","DAL","10","WR124","","","","306.0"
"351","Carolina Panthers","DST","14","DST30","","","","308.0"
"352","Jacoby Brissett","ARI","8","QB43","","","","310.0"
"353","Devin Singletary","NYG","14","RB93","","","312","312.0"
"354","Jacksonville Jaguars","DST","8","DST31","","","","313.0"
"355","Mason Rudolph","PIT","5","QB44","","","315","315.0"
"356","Devontez Walker","BAL","7","WR125","","","","315.0"
"357","Will Dissly","LAC","12","TE43","","","","317.0"
"358","Kimani Vidal","LAC","12","RB94","","","321","321.0"
"359","Phil Mafah","DAL","10","RB95","","","326","326.0"
""
""
